title,year,source,selection_criteria,status,comments
Using Digital Tabletops to Support Distributed Agile Planning Meetings,2009,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,
An Immersive Motion Interface with Edutainment Contents for Elderly People,2008,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,
Collaborative Practices that Support Creativity in Design,2009,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,
The Collaborative Workspace: A Co-located Tabletop Device to Support Meetings,2009,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,
File System Access for Tabletop Interaction,2010,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,
The design of a collaborative interface for narration to support reconciliation in a conflict,2009,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,
Analyzing Multimodal Communication around a Shared Tabletop Display,2009,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,
Balancing Skills to Optimize Fun in Interactive Board Games,2009,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,
Alerting Accidents with Ambiguity: A Tangible Tabletop Application for Safe and Independent Chemistry Experiments,2010,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,
Task Performance vs. Learning Outcomes: A Study of a Tangible User Interface in the Classroom,2010,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,
"uMeeting, an Efficient Co-located Meeting System on the Large-Scale Tabletop",2011,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,
Subject-Oriented Elicitation of Distributed Business Process Knowledge,2011,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,
Stakeholder-Driven Collaborative Modeling of Subject-Oriented Business Processes,2012,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,
Semiautomatic and User-Centered Orientation of Digital Artifacts on Multi-touch Tabletops,2012,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,
A Tabletop Board Game Interface for Multi-user Interaction with a Storytelling System,2012,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,"The multi-touch table used in this research makes use of an ordinary video
projector, non-diffuse IR-beams, and an average webcam"
Balancing Act: Enabling Public Engagement with Sustainability Issues through a Multi-touch Tabletop Collaborative Game,2011,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,
Exploring How Tangible Tools Enable Collaboration in a Multi-touch Tabletop Game,2011,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,
Tangible and Wearable User Interfaces for Supporting Collaboration among Emergency Workers,2012,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,
Collaborative Problem Solving with Objects: Physical Aspects of a Tangible Tabletop in Technology-based Assessment,2012,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,
Supporting Collaborative Decision in Architectural Design with Synchronous Collocated 4D Simulation and Natural User Interactions,2014,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,
NoProblem! A Collaborative Interface for Teaching Conversation Skills to Children with High Functioning Autism Spectrum Disorder,2014,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,DiamondTouch
Communication Analysis of Remote Collaboration System with Arm Scaling Function,2013,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,
Development of Communication Support System at Mealtimes Using Tabletop Interface,2013,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,
Trains of thought on the tabletop: visualizing association of ideas improves creativity,2013,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,DiamondTouch
Using digital board games for genuine communication in EFL classrooms,2014,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,
A Resilient Interaction Concept for Process Management on Tabletops for Cyber-Physical Systems,2014,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,
Hands-on Maps — a Multi-touch Map Application in a Public Space,2013,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,
Designing Tangible and Multitouch Games for Autistic Children,2014,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,
Tangible-Based Assessment of Collaborative Problem Solving,2014,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,
Sensor-Augmented Virtual Labs: Using Physical Interactions with Science Simulations to Promote Understanding of Gas Behavior,2015,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,
Evaluating Digital Tabletop Collaborative Writing in the Classroom,2015,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,SMART tables
A Collaborative Spatial Decision Support System for the Capacitated Vehicle Routing Problem on a Tabletop Display,2015,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,
Subjective User Experience and Performance with Active Tangibles on a Tabletop Interface,2015,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,Samsung Sur 40
Envisioning the Emergency Operations Centre of the Future,2016,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted, Microsoft Perceptive Pixel
Collaboration Around an Interactive Tabletop in Rehabilitation Settings,2016,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,Microsoft PixelSense
Usage of Interactive Event Timelines in Collaborative Digital Tabletops Involving Automation,2016,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,
Towards Geospatial Tangible User Interfaces: An Observational User Study Exploring Geospatial Interactions of the Novice,2016,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,
Visual Object Interface Signifier of Museum Application for Large Display,2017,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,Microsoft SUR40 tabletop
Development of a Pervasive Game for ADHD Children,2019,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,
Designing a Collaborative Problem Solving Task in the Context of Urban Planning,2018,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,
Towards a framework for geospatial tangible user interfaces in collaborative urban planning,2018,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,
A Glasses-Based Holographic Tabletop for Collaborative Monitoring of Aerial Missions,2020,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,
Study on generic tangible objects used to collaborate remotely on RFID tabletops,2018,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,TangiSense
Learning basic concept of computer programming with path-finding task in ar and its properties,2021,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,
Designing a Learning Robot to Encourage Collaboration Between Children,2021,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,
RFID-based tangible and touch tabletop for dual reality in crisis management context,2021,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,
Designing a tangible tabletop installation and enacting a socioenactive experience with TangiTime,2021,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,
Let the experts talk: An experience of tangible game design with children,2010,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,
Sketched menu: A tabletop-menu technique for GUI object creation,2010,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,
DiamondSpin: An extensible toolkit for around-the-table interaction,2004,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,
Songexplorer: A tabletop application for exploring large collections of songs,2009,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,
Fluid DTMouse: Better mouse support for touch-based interactions,2006,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,
Venice unfolding: A tangible user interface for exploring faceted data in a geographical context,2010,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,
Music browsing using a tabletop display,2007,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,
Actions speak loudly with words: Unpacking collaboration around the table,2009,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,DiamondTouch
Rethinking 'Multi-user': An in-the-wild study of how groups approach a walk-up-and-use tabletop interface,2011,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,
Getting sidetracked: Display design and occasioning photo-talk with the photohelix,2009,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,
Solar scramble: An educational children's game for collaborative multi-touch digital tabletops,2010,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,
Hugin: A framework for awareness and coordination in mixed-presence collaborative information visualization,2010,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,
"Collaborative sensemaking on a digital tabletop and personal tablets: Prioritization, comparisons, and tableaux",2013,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,
ObjecTop: Occlusion awareness of physical objects on interactive tabletops,2013,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,
Facilitating shared understanding of work situations using a tangible tabletop interface,2014,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,
Motivating arm-hand use for stroke patients by serious games.,2012,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,
A Toolkit for Prototyping Tabletop-Centric Cross-Device Interaction,2020,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,
"Dollhouse VR: A multi-view, multi-user collaborative design workspace with VR technology",2015,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,
Supporting active reading on pen and touch-operated tabletops,2012,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,
Framework for bimanual inter-device interactions,2014,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,
Dynamic tabletop interfaces for increasing creativity,2012,Science@Direct,Study describing digital tabletop application that mentions the hardware used,Accepted,
Exploring and modeling unimanual object manipulation on multi-touch displays,2015,Science@Direct,Study describing digital tabletop application that mentions the hardware used,Accepted,
How do preschoolers interact with peers? Characterising child and group behaviour in games with tangible interfaces in school,2022,Science@Direct,Study describing digital tabletop application that mentions the hardware used,Accepted,
A tangible user interface for assessing cognitive mapping ability,2009,Science@Direct,Study describing digital tabletop application that mentions the hardware used,Accepted,
GAINE – A portable framework for the development of edutainment applications based on multitouch and tangible interaction,2016,Science@Direct,Study describing digital tabletop application that mentions the hardware used,Accepted,
Flexible learning itinerary vs. linear learning itinerary,2014,Science@Direct,Study describing digital tabletop application that mentions the hardware used,Accepted,
Evaluating heuristics for tabletop user segmentation based on simultaneous interaction,2013,Science@Direct,Study describing digital tabletop application that mentions the hardware used,Accepted,
MTi: A method for user identification for multitouch displays,2013,Science@Direct,Study describing digital tabletop application that mentions the hardware used,Accepted,
A framework for bimanual inter-device interactions,2014,Science@Direct,Study describing digital tabletop application that mentions the hardware used,Accepted,
A Design Model for Tangible Interaction: Case Study in Waste Sorting,2016,Science@Direct,Study describing digital tabletop application that mentions the hardware used,Accepted,
Dual Reality for Production Verification Workshops: A Comprehensive Set of Virtual Methods,2016,Science@Direct,Study describing digital tabletop application that mentions the hardware used,Accepted,
Collaborative visualization of engineering processes using tabletop augmented reality,2013,Science@Direct,Study describing digital tabletop application that mentions the hardware used,Accepted,
Hyperinteractive Evolutionary Computation,2011,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,“Asus Eee Top” touchscreen PC
RoboJockey: Designing an Entertainment Experience with Robots,2016,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
"Working Attention, Planning and Social Skills Through Pervasive Games in Interactive Spaces",2022,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Subject-Oriented BPM = Socially Executable BPM,2013,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
A single-user tabletop card game system for older persons: General lessons learned from an in-situ study,2008,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Improving digital handoff in shared tabletop workspaces,2008,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Usability of technology supported social competence training for children on the Autism Spectrum,2011,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,DiamondTouch
Design and evaluation of an interactive tabletop application for university open house,2014,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Tabletop AgilePlanner: A tabletop-based project planning tool for agile software development teams,2008,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Multimodal Split View Tabletop Interaction Over Existing Applications,2007,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Improving disaster response with multi-touch technologies,2007,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Travel Agency Desk Support System Using Interest Degree,2015,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Personal assistant agents and multi-agent middleware for CSCW,2012,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Designing environments for collaborative video editing,2008,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Re-defining learning experience for kids,2014,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Block-oriented programming with tangibles: An engaging way to learn computational thinking skills,2017,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
PTPG: A Poisson Triangular Pattern Generator for Tokens on Tangible Surfaces,2020,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Finger gesture interaction on large tabletop for sharing digital documents among multiple users,2008,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Collaborative searching for video using the Fischlar system and a DiamondTouch table,2006,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Flipping the Flipped Classroom: A Study of the Effectiveness of Video Lectures Versus Constructivist Exploration Using Tangible User Interfaces,2016,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Combinatorix
Cross-device transfer in a collaborative multi-surface environment without user identification,2014,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Multi-view is useful for more accurate understanding of object in a virtual soccer field,2013,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Reactoon: Storytelling in a Tangible Environment,2010,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Tangible User Interface to Learn about Voronoi Diagrams,2022,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
The MusicPatterns,2010,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Collaborative Puzzle Game: Fostering collaboration in children with autistic spectrum disorder (ASD) and with typical development,2009,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
SIDES: a cooperative tabletop computer game for social skills development,2006,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Personal digital historian: story sharing around the table,2003,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Pac-pac: pinching gesture recognition for tabletop entertainment system,2010,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Examining interactive surfaces for maritime operations,2013,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
CoR2Ds,2005,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Semantic Approach to Analyze Creativity Corpus,2017,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Circuit in pieces: understanding electricity from electrons to light bulbs,2013,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
"""Dinner Party"" sociable interfaces in a tabletop art project",2011,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
"IncreTable, a mixed reality tabletop game experience",2008,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
CoCoDeS: multi-device support for collocated collaborative learning design,2016,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Exploring true multi-user multimodal interaction over a digital table,2008,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Supporting sandtray therapy on an interactive tabletop,2010,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Surface air hockey: a step towards smart tangibles,2016,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Individual audio channels with single display groupware: effects on communication and task strategy,2004,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Reformulating clancey's generic tasks for bridging both sides of dual reality,2017,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,TangiSense interactive tabletop
Design and evaluation techniques for authoring interactive and stylistic behaviors,2014,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Sparse Tangibles: Collaborative Exploration of Gene Networks using Active Tangibles and Interactive Tabletops,2016,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
EGrid: supporting the control room operation of a utility company with multi-touch tables,2010,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
The Space Journey Game: An Intergenerational Pervasive Experience,2019,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
BacPack: Exploring the Role of Tangibles in a Museum Exhibit for Bio-Design,2017,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
TOUCHtr4ck: democratic collaborative music,2010,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
