title,ano,source,selection_criteria,status,comments,Tecnologia do display,Tecnologia do input,Tipo de interação,Suporte à colaboração,Usa modelo com nome?,Tamanho da mesa
InfrActables: Multi-User Tracking System for Interactive Surfaces,2006.0,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,,Rear-Projected,"Pen, Sensor-Assisted-Vision-Based",Tangibility,Colaboração presencial,,
Instruction pictograms for experience-based displays and their use cases,2022.0,Science@Direct,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Pure-Vision-Based,Gesture,Usuário único,,
Integrating Point and Touch for Interaction with Digital Tabletop Displays,2006.0,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,,Front-Projected,Pen,Tangibility,Usuário único,,
Interacting with mouse and touch devices on horizontal interactive displays,2012.0,Scopus,Study evaluating digital tabletop techniques,Accepted,,Embedded,Sensor-Assisted-Vision-Based,Touch,Colaboração presencial,[braccetto] research platform,46’’
Interaction on the Tabletop: Bringing the Physical to the Digital,2010.0,Springer Link,Study evaluating digital tabletop techniques,Accepted,,Rear-Projected,Sensor-Assisted-Vision-Based,Touch,Colaboração presencial,SMART Board,
Interaction techniques for the analysis of complex data on high-resolution displays,2008.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Sound-Based, Tangible-Tokens","Gesture, Speech, Tangibility",Colaboração presencial,,83”
Interactions around a Multi-touch Tabletop: A Rapid Ethnographic Study in a Museum,2014.0,Springer Link,Study evaluating digital tabletop techniques,Accepted,,Rear-Projected,Sensor-Assisted-Vision-Based,Multi-touch,Colaboração presencial,Microsoft Surface,30”
Interactive 360-Degree Glasses-Free Tabletop 3D Display,2019.0,ACM Digital Library,Study describing digital tabletop techniques,Accepted,,Front-Projected,"Electrical-Based, Eye-Tracking",Multi-touch,Colaboração presencial,,
Interactive Coupling of Process Models: A Distributed Tabletop Approach to Collaborative Modeling,2014.0,ACM Digital Library,Study describing digital tabletop techniques,Accepted,,Rear-Projected,"Pure-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility","Colaboração presencial, Usuário único",,
Interactive Tree Comparison for Co-located Collaborative Information Visualization,2007.0,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,,Rear-Projected,Sensor-Assisted-Vision-Based,Touch,Colaboração presencial,SMART Board,
Interactive audio-tactile maps for visually impaired people,2015.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,Electrical-Based,Multi-touch,Colaboração presencial,M2256PW,
Interactive multi-user video retrieval systems,2011.0,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,Sensor-Assisted-Vision-Based,Multi-touch,Colaboração presencial,,
Interactive tabletops with non-interactive rims,2010.0,Scopus,Study evaluating digital tabletop techniques,Accepted,,Embedded,Electrical-Based,Multi-touch,Colaboração presencial,,46”
Interfering and resolving: How tabletop interaction facilitates co-construction of argumentative knowledge,2010.0,Springer Link,Study describing digital tabletop techniques,Accepted,,Rear-Projected,"Pure-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility",Colaboração presencial,reacTable,
Interview approaches to researching embodiment,2013.0,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens",Tangibility,Colaboração presencial,LightTable,
Introducing the Smart City to Children with a Tangible Interaction Table: Expliquer la ville intelligente aux enfants avec une table d’interaction tangible,2022.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Tangible-Tokens,Tangibility,Colaboração presencial,,
Investigating Paradigms of Group Territory in Multiple Display Environments,2020.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted, 55’ Microsoft multi-touch display,Embedded,Electrical-Based,Multi-touch,Colaboração presencial,Microsoft Perceptive Pixel,"55"""
Investigating Pointing Tasks across Angularly Coupled Display Areas,2013.0,Springer Link,Study evaluating digital tabletop techniques,Accepted,,Rear-Projected,Sensor-Assisted-Vision-Based,Touch,Usuário único,,
Investigating Separation of Territories and Activity Roles in Children's Collaboration around Tabletops,2018.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,"Sensor-Assisted-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility",Colaboração presencial,Samsung SUR40,40”
Investigating Temporal-Spatial Characteristics of Mouse and Touch Input,2009.0,Springer Link,Study evaluating digital tabletop techniques,Accepted,,Embedded,Sensor-Assisted-Vision-Based,Touch,Colaboração presencial,[braccetto] research platform,46’’
Investigating menu discoverability on a digital tabletop in a public setting,2012.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,Electrical-Based,Multi-touch,Colaboração presencial,SMART Table,28”
Investigating one-handed and two-handed inter-device interaction,2017.0,Science@Direct,Study describing digital tabletop application that mentions the hardware used,Accepted,,"Embedded, Multi-Device","Sensor-Assisted-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility",Colaboração presencial,Samsung SUR40 + Tablet,40”
Investigation of fingertip blobs on optical multi-touch screen,2010.0,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,,Rear-Projected,Sensor-Assisted-Vision-Based,Multi-touch,Colaboração presencial,,
Is the Writing on the Wall for Tabletops?,2009.0,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Electrical-Based,Multi-touch,Colaboração presencial,DiamondTouch,42”
It's just a toolbar! using tangibles to help children manage conflict around a multi-touch tabletop,2010.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,microsoft surface,Rear-Projected,Sensor-Assisted-Vision-Based,Multi-touch,Colaboração presencial,Microsoft Surface,30”
Jamming user interfaces: programmable particle stiffness and sensing for malleable and shape-changing devices,2012.0,ACM Digital Library,Study describing digital tabletop techniques,Accepted,"Muito não ortodoxo, a mesa é feita de um material maleavel.",Rear-Projected,Sensor-Assisted-Vision-Based,"Multi-touch, Tangibility",Usuário único,,
"Kawalu\""{u}: Macro Environment for Collaborative Surface with Dynamic Parameters using Tangible Objects",2018.0,ACM Digital Library,Study describing digital tabletop techniques,Accepted,,Front-Projected,"Pen, Sensor-Assisted-Vision-Based, Tangible-Tokens",Tangibility,Colaboração presencial,,
Keeping up appearances: interpretation of tangible artifact design,2008.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,Tangible-Tokens,Tangibility,Colaboração presencial,,
Ketsuro-Graffiti: An Interactive Display with Water Condensation,2016.0,ACM Digital Library,Study describing digital tabletop techniques,Accepted,,Embedded,Electrical-Based,Touch,Usuário único,,
KitVision toolkit: supporting the creation of cognitive activities for tangible tabletop devices,2019.0,Springer Link,Study describing digital tabletop techniques,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens",Tangibility,Colaboração presencial,NIKVision,
LaserFoot: 6-DOF Tracking method over an Optical Touchscreen,2016.0,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,,Rear-Projected,Sensor-Assisted-Vision-Based,Multi-touch,Colaboração presencial,Microsoft Surface,30”
Learning Environment based on an Interactive Projection Table for Children,2021.0,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,,Front-Projected,Sensor-Assisted-Vision-Based,Tangibility,Colaboração presencial,,
Learning basic concept of computer programming with path-finding task in ar and its properties,2021.0,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,,Headset,Sensor-Assisted-Vision-Based,Gesture,Usuário único,Microsoft HoloLens,
Learning extended writing: designing for children's collaboration,2013.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Pen,Tangibility,Colaboração presencial,Promethean ActivBoard,
"Lessons learned from the WILD room, a multisurface interactive environment",2011.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,Sensor-Assisted-Vision-Based,Multi-touch,Colaboração presencial,IntuiFace multitouch,45”
Let the experts talk: An experience of tangible game design with children,2010.0,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens",Tangibility,Colaboração presencial,NIKVision,
Let's jam the reactable: Peer learning during musical improvisation with a tabletop tangible interface,2013.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,"Pure-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility",Colaboração presencial,reacTable,
Localisation and Interaction for Augmented Maps,2005.0,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,,Front-Projected,"Pure-Vision-Based, Tangible-Tokens",Tangibility,Colaboração presencial,,
Low-fidelity prototyping with simple collaborative tabletop computer-aided design systems,2018.0,Science@Direct,Study describing digital tabletop techniques,Accepted,,Front-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens","Tangibility, Touch",Colaboração presencial,InitialInsights,
MARIO: Mid-Air Augmented RealityInteraction with Objects,2013.0,Springer Link,Study describing digital tabletop techniques,Accepted,,Front-Projected,Sensor-Assisted-Vision-Based,"Gesture, Tangibility",Usuário único,,
MP Remix: Relaxed WYSIWIS Immersive Interfaces for Mixed Presence Collaboration With 3D Content,2019.0,ACM Digital Library,Study describing digital tabletop techniques,Accepted,,"Embedded, Headset",Electrical-Based,Multi-touch,Colaboração remota,,
MTi: A method for user identification for multitouch displays,2013.0,Science@Direct,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,"Sensor-Assisted-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility",Colaboração presencial,Samsung SUR40,40”
MakeBronze: An interactive system to promote Chinese bronze culture in children through hands-on experience with lost-wax casting,2024.0,Science@Direct,Study describing digital tabletop techniques,Accepted,,Front-Projected,Pen,Tangibility,Usuário único,,
