article,Ano,Tecnologia do display,Tecnologia do input,Tipo de interação,Suporte à colaboração,Usa modelo com nome?,Tamanho da mesa
Implementing widgets using sifteo cubes for visual modelling on tangible user interfaces,2014,Projetor inferior,"Tokens tangíveis, Visão computacional","Multi-touch, Tangibility, Touch",Colaboração presencial,,60”
Utilizing Smartphones as a Multi-Device Single Display Groupware to Design Collaborative Games,2017,Multi-Device,Toque,"Multi-touch, Touch",Colaboração presencial,,
A low-cost infrastructure for tabletop games,2008,Projetor inferior,Sensor infravermelho,"Multi-touch, Touch",Colaboração presencial,,
ChemicAble: Tangible Interaction Approach for learning Chemical Bonding,2013,Projetor inferior,"Tokens tangíveis, Visão computacional",Tangibility,Colaboração presencial,,
Mixed reality based interaction system for digital heritage,2016,Projetor superior,"Sensor infravermelho, Tokens tangíveis",Tangibility,Colaboração presencial,,107”
The Effect of View Techniques on Collaboration and Awareness in Tabletop Map-Based Tasks,2014,Embutido,Toque,"Multi-touch, Touch",Colaboração presencial,,55”
ZeroN: mid-air tangible interaction enabled by computer controlled magnetic levitation,2011,"Projetor inferior, Projetor superior","Sensor infravermelho, Tokens tangíveis, Visão computacional","Gesture, Tangibility",Colaboração presencial,,
"Mine, Yours, Ours: Coordination through Workspace Arrangements and Territoriality in Tabletop Interaction",2018,Embutido,Toque,"Multi-touch, Touch",Colaboração presencial,,65”
Permulin: mixed-focus collaboration on multi-view tabletops,2014,"Embutido, Multi-Device","Sensor infravermelho, Visão computacional","Multi-touch, Touch",Colaboração presencial,,52″
Children's haptic experiences of tangible artifacts varying in hardness,2008,Projetor inferior,"Tokens tangíveis, Visão computacional","Multi-touch, Tangibility",Colaboração presencial,,
WebSurface: an interface for co-located collaborative information gathering,2009,Projetor superior,Caneta,Tangibility,Colaboração presencial,,48”
"Collaborating around Digital Tabletops: Children's Physical Strategies from India, the UK and Finland",2017,Projetor inferior,Sensor infravermelho,"Multi-touch, Touch","Colaboração presencial, Colaboração remota",,
Ketsuro-Graffiti: An Interactive Display with Water Condensation,2016,Embutido,Toque,Touch,Usuário único,,
Development of eye-tracking pen display based on stereo bright pupil technique,2010,Projetor superior,"Caneta, Eye-Tracking","Gaze, Tangibility",Usuário único,,
Presence disparity in mixed presence collaboration,2008,Embutido,Toque,Touch,Colaboração presencial,,46”
SkyAnchor: Optical Design for Anchoring Mid-air Images onto Physical Objects,2016,Projetor inferior,Tokens tangíveis,Tangibility,Usuário único,,
The eLabBench in the wild: supporting exploration in a molecular biology lab,2012,Embutido,"Caneta, Tokens tangíveis, Visão computacional",Tangibility,Colaboração presencial,,
GhostID: Enabling Non-Persistent User Differentiation in Frequency-Division Capacitive Multi-Touch Sensors,2017,Projetor superior,Toque,Touch,Usuário único,,10”
The multi-touch SoundScape renderer,2008,Projetor inferior,Sensor infravermelho,"Multi-touch, Touch",Colaboração presencial,,
CrosSI: A Novel Workspace with Connected Horizontal and Vertical Interactive Surfaces,2018,"Multi-Device, Projetor inferior","Sensor infravermelho, Tokens tangíveis","Multi-touch, Tangibility, Touch",Colaboração presencial,,
The effects of interaction techniques on talk patterns in collaborative peer learning around interactive tables,2011,Projetor inferior,Sensor infravermelho,"Multi-touch, Touch",Colaboração presencial,,56.5”
Collaborative coupling over tabletop displays,2006,Projetor superior,"Caneta, Sensor infravermelho","Tangibility, Touch",Colaboração presencial,,
Towards Utopia: designing tangibles for learning,2011,Embutido,"Tokens tangíveis, Visão computacional","Multi-touch, Tangibility, Touch",Colaboração presencial,,
PhotoelasticTouch: transparent rubbery tangible interface using an LCD and photoelasticity,2009,Embutido,Visão computacional,"Multi-touch, Touch",Colaboração presencial,,
Adaptive personal territories for co-located tabletop interaction in a museum setting,2011,Embutido,Sensor infravermelho,"Multi-touch, Touch",Colaboração presencial,,"65"""
onNote: playing printed music scores as a musical instrument,2011,Projetor superior,Visão computacional,Tangibility,Usuário único,,
Multimodal Segmentation on a Large Interactive Tabletop: Extending Interaction on Horizontal Surfaces with Gaze,2016,Projetor superior,"Eye-Tracking, Visão computacional","Gaze, Multi-touch, Touch",Usuário único,,45”
RoboTable: a tabletop framework for tangible interaction with robots in a mixed reality,2009,Projetor inferior,"Sensor infravermelho, Tokens tangíveis","Multi-touch, Tangibility",Colaboração presencial,,
PuzzleTale: A tangible puzzle game for interactive storytelling,2010,Projetor superior,"Sensor infravermelho, Tokens tangíveis",Tangibility,Colaboração presencial,,
Interaction techniques for the analysis of complex data on high-resolution displays,2008,Projetor inferior,"Ondas sonoras, Sensor infravermelho, Tokens tangíveis, Visão computacional","Gesture, Speech, Tangibility",Colaboração presencial,,83”
Permulin: collaboration on interactive surfaces with personal in- and output,2013,Embutido,Visão computacional,"Multi-touch, Touch",Colaboração presencial,,
TOUCHtr4ck: democratic collaborative music,2011,Projetor inferior,Sensor infravermelho,"Multi-touch, Touch",Colaboração presencial,,
The ColorTable: a design story,2008,Projetor superior,Tokens tangíveis,Tangibility,Colaboração presencial,,
Bonfire: a nomadic system for hybrid laptop-tabletop interaction,2009,Projetor superior,Visão computacional,"Gesture, Multi-touch, Tangibility, Touch",Usuário único,,
The music pattern: A creative tabletop music creation platform,2010,Projetor inferior,Sensor infravermelho,"Multi-touch, Touch",Colaboração presencial,,
Interactive Coupling of Process Models: A Distributed Tabletop Approach to Collaborative Modeling,2014,Projetor inferior,"Tokens tangíveis, Visão computacional","Multi-touch, Tangibility, Touch","Colaboração presencial, Usuário único",,
Occlusion-aware interaction techniques for tabletop systems,2012,Projetor inferior,"Sensor infravermelho, Visão computacional","Multi-touch, Touch",Colaboração presencial,,46”
Novel interaction techniques based on a combination of hand and foot gestures in tabletop environments,2012,Projetor inferior,Sensor infravermelho,"Gesture, Multi-touch, Touch",Usuário único,,45”
The Hyper Drumhead: A Musical Instrument For The Audio/Visual Manipulation Of Sound Waves,2022,Projetor inferior,Sensor infravermelho,"Multi-touch, Touch",Colaboração presencial,,
Turning the tables: an interactive surface for vjing,2009,Projetor inferior,Sensor infravermelho,"Multi-touch, Touch",Colaboração presencial,,
Territorial coordination and workspace awareness in remote tabletop collaboration,2009,Projetor superior,Caneta,Tangibility,Colaboração presencial,,
SLAP widgets: bridging the gap between virtual and physical controls on tabletops,2009,Projetor inferior,"Sensor infravermelho, Tokens tangíveis","Multi-touch, Tangibility, Touch",Colaboração presencial,,
MobiTop: Interactivity Issues in a Multi-Mobile System,2016,"Embutido, Multi-Device",Toque,"Multi-touch, Touch",Colaboração presencial,,
Sparse Tangibles: Collaborative Exploration of Gene Networks using Active Tangibles and Interactive Tabletops,2016,Projetor inferior,"Sensor infravermelho, Tokens tangíveis","Tangibility, Touch",Colaboração presencial,,
At home with surface computing?,2012,Embutido,Toque,"Multi-touch, Touch",Colaboração presencial,,
PATI: a projection-based augmented table-top interface for robot programming,2019,Projetor superior,"Sensor infravermelho, Visão computacional","Gesture, Multi-touch, Touch",Usuário único,,
ThinSight: a thin form-factor interactive surface technology,2009,Embutido,Sensor infravermelho,"Multi-touch, Touch",Usuário único,,
Sharing and building digital group histories,2002,Projetor superior,Caneta,Tangibility,Colaboração presencial,,
Sketch-Play-Learn - An Augmented Paper Based Environment for Learning the Concepts of Optics,2015,Projetor inferior,"Tokens tangíveis, Visão computacional",Tangibility,Colaboração presencial,,
Towards a Mixed-Reality Interface for Mind-Mapping,2017,Projetor superior,Tokens tangíveis,Tangibility,Colaboração presencial,,
Localisation and Interaction for Augmented Maps,2005,Projetor superior,"Tokens tangíveis, Visão computacional",Tangibility,Colaboração presencial,,
Distributed tabletops: territoriality and orientation in distributed collaboration,2007,Projetor superior,Caneta,Tangibility,Colaboração remota,,
Projectron mapping: the exercise and extension of augmented workspaces for learning electronic modeling through projection mapping,2014,"Embutido, Projetor superior",Visão computacional,"Tangibility, Touch",Colaboração presencial,,
Affordances for manipulation of physical versus digital media on interactive surfaces,2007,Projetor inferior,Visão computacional,"Gesture, Multi-touch, Touch",Colaboração presencial,,30”
3D Tabletop User Interface with High Synchronization Accuracy using a High-speed Stereo Camera,2015,Embutido,Visão computacional,"Multi-touch, Touch",Usuário único,,
StoryGrid: a tangible interface for student expression,2005,Projetor superior,Tokens tangíveis,Tangibility,Colaboração presencial,,
BrainExplorer: an innovative tool for teaching neuroscience,2012,Projetor inferior,"Caneta, Tokens tangíveis, Visão computacional",Tangibility,Colaboração presencial,,
A constraint-based understanding of design spaces,2014,"Projetor inferior, Projetor superior",Tokens tangíveis,Tangibility,Colaboração presencial,,
Improving digital handoff using the space above the table,2013,Embutido,"Toque, Visão computacional","Multi-touch, Touch",Colaboração presencial,,"60"""
CoCoDeS: multi-device support for collocated collaborative learning design,2016,"Embutido, Multi-Device",Toque,"Multi-touch, Touch",Colaboração presencial,,"40"""
Branch-explore-merge: facilitating real-time revision control in collaborative visual exploration,2012,"Multi-Device, Projetor inferior",Sensor infravermelho,"Multi-touch, Touch","Colaboração presencial, Colaboração remota",,"40"""
Jamming user interfaces: programmable particle stiffness and sensing for malleable and shape-changing devices,2012,Projetor inferior,Sensor infravermelho,"Multi-touch, Tangibility, Touch",Usuário único,,
"IncreTable, a mixed reality tabletop game experience",2008,"Projetor inferior, Projetor superior","Caneta, Tokens tangíveis, Visão computacional",Tangibility,Colaboração presencial,,
Tabletop concept mapping,2009,Projetor inferior,"Sensor infravermelho, Tokens tangíveis, Visão computacional",Tangibility,Colaboração presencial,,
"""Dinner Party"" sociable interfaces in a tabletop art project",2010,Projetor inferior,"Sensor infravermelho, Visão computacional",Tangibility,Usuário único,,
Tabletop games for photo consumption at theme parks,2012,Embutido,Toque,Touch,Colaboração presencial,,"50"""
Calibration on Co-located Ad-Hoc Multi Mobile System,2016,"Embutido, Multi-Device","Toque, Visão computacional","Multi-touch, Touch",Colaboração remota,,
RAMPARTS: Supporting Sensemaking with Spatially-Aware Mobile Interactions,2016,Multi-Device,Sensor infravermelho,"Multi-touch, Touch",Colaboração presencial,,
Designing a user interface for a painting application supporting real watercolor painting processes,2012,Projetor inferior,Sensor infravermelho,Tangibility,Usuário único,,
Collaborative simulation interface for planning disaster measures,2006,Projetor superior,Tokens tangíveis,Tangibility,Colaboração presencial,,40”
Pac-pac: pinching gesture recognition for tabletop entertainment system,2010,Embutido,Visão computacional,Gesture,Colaboração presencial,,46”
pOwerball: the design of a novel mixed-reality game for children with mixed abilities,2005,Projetor superior,Tokens tangíveis,Tangibility,Colaboração presencial,,
Surface Ghosts: Promoting Awareness of Transferred Objects during Pick-and-Drop Transfer in Multi-Surface Environments,2014,Projetor inferior,Visão computacional,"Multi-touch, Touch",Colaboração presencial,,
Transforming Lives Through Story Immersion: Innovation of Aphasia Rehabilitation Therapy through Storytelling Learning Landscapes,2014,Headset,Tokens tangíveis,Tangibility,Usuário único,,
Tangible Interaction and Teacher Education: Creating Resources for Students with Different Communication Processes,2019,Projetor inferior,"Sensor infravermelho, Tokens tangíveis, Visão computacional",Tangibility,Colaboração presencial,,
coisTable: An Individual-and-Spatial-Aware Tabletop System for Co-located Collaboration,2020,Embutido,"Tokens tangíveis, Toque","Multi-touch, Tangibility, Touch",Colaboração presencial,,
Design and implementation of multi-touch system using FTIR technique for optimization of finger touch detection,2010,Projetor inferior,Sensor infravermelho,"Multi-touch, Touch",Colaboração presencial,,
GAINE — tanGible augmented interaction for edutainment,2015,Projetor inferior,Sensor infravermelho,"Multi-touch, Tangibility, Touch",Colaboração presencial,,
Integrating Point and Touch for Interaction with Digital Tabletop Displays,2006,Projetor superior,Caneta,Tangibility,Usuário único,,
Nervixxx: A Video Performance System with Neural Interfaces,2009,Projetor inferior,"Tokens tangíveis, Wearables",Tangibility,Usuário único,,
Investigation of fingertip blobs on optical multi-touch screen,2010,Projetor inferior,"Sensor infravermelho, Visão computacional","Multi-touch, Touch",Colaboração presencial,,
A-CUBE: A Tangible Tabletop Application to Support Safe and Independent Chemistry Experiments,2010,Projetor superior,"Tokens tangíveis, Visão computacional",Tangibility,Usuário único,,
Tangible User Interface to Learn about Voronoi Diagrams,2022,Embutido,"Sensor infravermelho, Visão computacional",Tangibility,Colaboração presencial,,"55"""
The MusicPatterns,2010,Projetor inferior,Sensor infravermelho,"Multi-touch, Touch",Colaboração presencial,,
Various tangible devices suitable for mixed reality interactions,2010,Projetor inferior,"Sensor infravermelho, Tokens tangíveis, Visão computacional","Gesture, Tangibility",Usuário único,,
E-DUB-A: A Tangible Educational Resource Editor in Inclusive Classes,2019,Projetor inferior,"Tokens tangíveis, Visão computacional",Tangibility,Usuário único,,
"StorySpace: technology supporting reflection, expression, and discourse in classroom narrative",2004,Projetor superior,Tokens tangíveis,Tangibility,Colaboração presencial,,
Reactoon: Storytelling in a Tangible Environment,2010,Projetor inferior,"Sensor infravermelho, Tokens tangíveis, Visão computacional","Multi-touch, Tangibility, Touch",Colaboração presencial,,
Toward Universal Tangible Objects: Optimizing Haptic Pinching Sensations in 3D Interaction,2019,Headset,Tokens tangíveis,Tangibility,Usuário único,,
SpiroSurface: A Repulsive and Attractive Force Display for Interactive Tabletops Using a Pneumatic System,2018,Projetor superior,Toque,Touch,Usuário único,,
InfrActables: Multi-User Tracking System for Interactive Surfaces,2006,Projetor inferior,"Caneta, Sensor infravermelho",Tangibility,Colaboração presencial,,
GeoGate: Correlating Geo-Temporal Datasets Using an Augmented Reality Space-Time Cube and Tangible Interactions,2019,"Embutido, Headset","Sensor infravermelho, Tokens tangíveis","Multi-touch, Tangibility, Touch",Usuário único,,
Cross-device transfer in a collaborative multi-surface environment without user identification,2014,"Embutido, Multi-Device",Sensor infravermelho,"Multi-touch, Touch",Colaboração presencial,,
Management of distributed collaborative learning environments based on a concept map paradigm and natural interfaces,2013,Projetor superior,Visão computacional,"Multi-touch, Touch",Colaboração presencial,,
Flipping the Flipped Classroom: A Study of the Effectiveness of Video Lectures Versus Constructivist Exploration Using Tangible User Interfaces,2015,Projetor inferior,"Tokens tangíveis, Visão computacional",Tangibility,Colaboração presencial,,
Uplift: A Tangible and Immersive Tabletop System for Casual Collaborative Visual Analytics,2020,"Embutido, Headset","Eye-Tracking, Tokens tangíveis, Toque, Visão computacional, Wearables","Gaze, Gesture, Multi-touch, Tangibility, Touch",Colaboração presencial,,"46"""
Preparing for Future Learning with a Tangible User Interface: The Case of Neuroscience,2013,Projetor inferior,"Caneta, Sensor infravermelho, Tokens tangíveis, Visão computacional",Tangibility,Colaboração presencial,,
Pen-based Interaction with Spreadsheets in Mobile Virtual Reality,2020,"Embutido, Headset","Caneta, Eye-Tracking, Toque, Wearables","Gaze, Gesture, Multi-touch, Tangibility, Touch",Usuário único,,
PTPG: A Poisson Triangular Pattern Generator for Tokens on Tangible Surfaces,2020,Embutido,"Tokens tangíveis, Toque","Multi-touch, Tangibility, Touch",Colaboração presencial,,
Paper-top interface for supporting note-taking and its preliminary experiment,2010,Projetor superior,"Tokens tangíveis, Visão computacional",Tangibility,Usuário único,,
PapARt: Interactive 3D graphics and multi-touch augmented paper for artistic creation,2012,Projetor superior,"Caneta, Sensor infravermelho, Visão computacional","Gesture, Multi-touch, Tangibility, Touch",Usuário único,,
Improving Menu Interaction for Cluttered Tabletop Setups with User-Drawn Path Menus,2007,Projetor inferior,Caneta,Tangibility,Usuário único,,
AQUARIA: Assistive Querying in Augmented Reality for Interactive Analytics,2024,"Embutido, Headset","Tokens tangíveis, Toque, Visão computacional","Gesture, Multi-touch, Tangibility, Touch",Colaboração presencial,,
Block-oriented programming with tangibles: An engaging way to learn computational thinking skills,2017,"Multi-Device, Projetor inferior","Sensor infravermelho, Tokens tangíveis","Multi-touch, Touch",Colaboração presencial,,
Hand gesture interaction using color-based method for tabletop interfaces,2011,Projetor superior,Visão computacional,"Gesture, Touch",Usuário único,,
Re-defining learning experience for kids,2014,Projetor inferior,"Tokens tangíveis, Visão computacional","Multi-touch, Tangibility, Touch",Colaboração presencial,,
Designing environments for collaborative video editing,2008,Embutido,Sensor infravermelho,"Multi-touch, Touch",Colaboração presencial,,
Personal assistant agents and multi-agent middleware for CSCW,2012,Embutido,"Sensor infravermelho, Visão computacional","Multi-touch, Touch",Colaboração presencial,,
Utilizing Digital Tabletops in Collocated Agile Planning Meetings,2008,Embutido,"Caneta, Ondas sonoras, Sensor infravermelho","Speech, Touch",Colaboração presencial,,
Learning Environment based on an Interactive Projection Table for Children,2021,Projetor superior,"Sensor infravermelho, Visão computacional",Tangibility,Colaboração presencial,,
The 3D Tractus: a three-dimensional drawing board,2006,Embutido,Caneta,Tangibility,Usuário único,,
T3: Rapid Prototyping of High-Resolution and Mixed-Presence Tabletop Applications,2007,Projetor superior,Caneta,Tangibility,"Colaboração presencial, Colaboração remota",,
Development of a gaze-and-touch algorithm for a tabletop Hyakunin-Isshu game with a computer opponent,2012,Projetor superior,"Eye-Tracking, Sensor infravermelho, Visão computacional, Wearables","Gaze, Touch",Usuário único,,
A collaborative design graphical tool based on Interactive Spaces and Natural Interfaces: A case study on an international design project,2014,Projetor superior,"Sensor infravermelho, Visão computacional","Multi-touch, Tangibility, Touch","Colaboração presencial, Colaboração remota",,55”
"The living-room: browsing, organizing and presenting digital image collections in interactive environments",2007,Embutido,"Sensor infravermelho, Tokens tangíveis, Visão computacional","Tangibility, Touch",Colaboração presencial,,79”
A single-user tabletop card game system for older persons: General lessons learned from an in-situ study,2008,Embutido,Toque,Touch,Usuário único,,19”
Improving digital handoff in shared tabletop workspaces,2008,Projetor superior,"Caneta, Tokens tangíveis, Wearables",Tangibility,Colaboração presencial,,75”
ARmy: A study of multi-user interaction in spatially augmented games,2012,Projetor superior,Visão computacional,Tangibility,Colaboração presencial,,
StoryGrid [educational computing],2005,Projetor superior,Tokens tangíveis,Tangibility,Colaboração presencial,,
Tabletop File System Access: Associative and Hierarchical Approaches,2007,Projetor superior,Caneta,Tangibility,Colaboração presencial,,
Subject-Oriented BPM = Socially Executable BPM,2013,Projetor inferior,"Tokens tangíveis, Visão computacional",Tangibility,Colaboração presencial,,
Hand gesture recognition using contour based method for tabletop surfaces,2013,Projetor inferior,Visão computacional,Gesture,Usuário único,,
Effects of Viewing Conditions and Rotation Methods in a Collaborative Tabletop AR Environment,2011,Headset,"Sensor infravermelho, Tokens tangíveis, Visão computacional",Tangibility,Colaboração presencial,,
A system to recommend dishes by the real time recognition of dining activity,2010,Projetor inferior,"Tokens tangíveis, Visão computacional",Tangibility,Usuário único,,
A Table-Top Interface for Real-Time Coaching in Abacus Learning,2024,Embutido,"Tokens tangíveis, Visão computacional",Tangibility,Usuário único,,
Supporting the Assessment of Collaborative Design Activities in Multi-tabletop Classrooms,2015,"Multi-Device, Projetor superior","Caneta, Sensor infravermelho, Visão computacional",Tangibility,Colaboração presencial,,
Pen and paper techniques for physical customisation of tabletop interfaces,2008,Projetor superior,"Caneta, Sensor infravermelho, Tokens tangíveis",Tangibility,Usuário único,,
Implementation and evaluations of vision-based finger flicking gesture recognition for tabletops,2008,Embutido,Visão computacional,Gesture,Colaboração presencial,,
Collaborative visualization of engineering processes using tabletop augmented reality,2013,Headset,Tokens tangíveis,Tangibility,Colaboração presencial,,
Browsing museum image collections on a multi-touch table,2012,Projetor inferior,"Sensor infravermelho, Tokens tangíveis, Visão computacional","Multi-touch, Tangibility, Touch",Colaboração presencial,,34”
Collaborating around vertical and horizontal large interactive displays: which way is best?,2004,Projetor inferior,"Caneta, Sensor infravermelho",Tangibility,Colaboração presencial,,44.5”
Designing social games for children and older adults: Two related case studies,2010,Projetor superior,"Tokens tangíveis, Visão computacional",Tangibility,Colaboração presencial,,
Management of Distributed RFID Surfaces: A Cooking Assistant for Ambient Computing in Kitchen,2014,Embutido,Tokens tangíveis,Tangibility,Usuário único,,
Instruction pictograms for experience-based displays and their use cases,2022,Projetor superior,Visão computacional,Gesture,Usuário único,,
TAPAS: A tangible End-User Development tool supporting the repurposing of Pervasive Displays,2017,Projetor superior,"Tokens tangíveis, Visão computacional","Multi-touch, Tangibility, Touch",Colaboração presencial,,
Flexible learning itinerary vs. linear learning itinerary,2014,Projetor superior,"Sensor infravermelho, Visão computacional",Touch,Colaboração presencial,,
GAINE – A portable framework for the development of edutainment applications based on multitouch and tangible interaction,2016,Projetor inferior,"Sensor infravermelho, Tokens tangíveis, Visão computacional","Multi-touch, Tangibility, Touch",Colaboração presencial,,50”
A tangible user interface for assessing cognitive mapping ability,2009,Projetor superior,"Tokens tangíveis, Visão computacional",Tangibility,Usuário único,,
A Novel Workbench for Collaboratively Constructing 3D Virtual Environment,2018,"Embutido, Multi-Device, Projetor inferior",Toque,"Multi-touch, Touch",Colaboração presencial,,
MakeBronze: An interactive system to promote Chinese bronze culture in children through hands-on experience with lost-wax casting,2024,Projetor superior,Caneta,Tangibility,Usuário único,,
Transparent electrostatic actuator with mesh-structured electrodes for driving tangible icon in tabletop interface,2014,Embutido,"Tokens tangíveis, Visão computacional",Tangibility,Usuário único,,
Eye-tracking volume simulation method to configure hardware settings for tangible and multi-user tabletop interaction,2013,Projetor superior,"Eye-Tracking, Visão computacional",Gaze,Colaboração presencial,,
AR Tabletop Interface using a Head-Mounted Projector,2016,Projetor superior,"Sensor infravermelho, Visão computacional",Touch,Usuário único,,
A slim hybrid multi-touch tabletop interface with a high definition LED display and multiple cameras,2012,Embutido,"Sensor infravermelho, Visão computacional","Multi-touch, Touch",Colaboração presencial,,"47"""
MisTable: Reach-through personal screens for tabletops,2014,"Projetor inferior, Projetor superior","Sensor infravermelho, Visão computacional","Gesture, Multi-touch, Touch",Colaboração presencial,,
Motivating arm-hand use for stroke patients by serious games.,2012,Embutido,"Sensor infravermelho, Visão computacional, Wearables","Tangibility, Touch",Usuário único,,
Poster: Overtop: Breaking the boundaries of tangible tabletop environments,2018,"Embutido, Headset, Projetor superior","Sensor infravermelho, Toque, Visão computacional","Gesture, Multi-touch, Tangibility, Touch",Usuário único,,
A large effective touchscreen using a head-mounted projector,2018,Projetor superior,"Sensor infravermelho, Visão computacional",Touch,Usuário único,,
A slim and wide multi-touch tabletop interface and its applications,2014,Embutido,"Sensor infravermelho, Visão computacional","Multi-touch, Touch",Colaboração presencial,,
Facilitating shared understanding of work situations using a tangible tabletop interface,2014,Projetor inferior,"Tokens tangíveis, Visão computacional",Tangibility,Colaboração presencial,,
Research on the tangible tabletop interaction system based on the optical sensors,2011,Embutido,"Sensor infravermelho, Tokens tangíveis, Visão computacional","Tangibility, Touch",Colaboração presencial,,
Tangible 3D tabletops: Combining tangible tabletop interaction and 3D projection,2012,"Projetor inferior, Projetor superior","Tokens tangíveis, Visão computacional",Tangibility,Colaboração presencial,,53”
"Collaborative sensemaking on a digital tabletop and personal tablets: Prioritization, comparisons, and tableaux",2013,Projetor superior,Caneta,Tangibility,Colaboração presencial,,
Combinatorix: A tangible user interface that supports collaborative learning of probabilities,2012,Projetor inferior,"Caneta, Sensor infravermelho, Tokens tangíveis, Visão computacional",Tangibility,Colaboração presencial,,
Hugin: A framework for awareness and coordination in mixed-presence collaborative information visualization,2010,Projetor inferior,"Sensor infravermelho, Visão computacional","Multi-touch, Touch","Colaboração presencial, Colaboração remota",,
Transparent tabletop interface for multiple users on Lumisight Table,2006,Projetor inferior,"Sensor infravermelho, Visão computacional","Gesture, Tangibility",Colaboração presencial,,
Getting sidetracked: Display design and occasioning photo-talk with the photohelix,2009,Projetor inferior,"Caneta, Sensor infravermelho, Tokens tangíveis, Visão computacional",Tangibility,Colaboração presencial,,
A 2D-3D integrated tabletop environment for multi-user collaboration,2007,"Projetor inferior, Projetor superior","Tokens tangíveis, Wearables",Tangibility,Colaboração presencial,,
Believable interaction with a quasi-tangible tabletop interface,2007,Projetor inferior,"Tokens tangíveis, Visão computacional","Gesture, Multi-touch, Tangibility, Touch",Colaboração presencial,,
Communicative behaviors and flow experience in tabletop gaming,2009,Projetor inferior,Caneta,Tangibility,Colaboração presencial,,55”
Venice unfolding: A tangible user interface for exploring faceted data in a geographical context,2010,Projetor inferior,"Sensor infravermelho, Tokens tangíveis, Visão computacional",Tangibility,Colaboração presencial,,
A slim tabletop interface based on high resolution LCD screens with multiple cameras,2010,Embutido,"Sensor infravermelho, Visão computacional","Multi-touch, Touch",Colaboração presencial,,
Songexplorer: A tabletop application for exploring large collections of songs,2007,Projetor inferior,"Sensor infravermelho, Tokens tangíveis, Visão computacional","Multi-touch, Tangibility, Touch",Colaboração presencial,,
An environment for collaborative iteration planning,2005,Projetor superior,"Sensor infravermelho, Visão computacional",Touch,Colaboração presencial,,
Tangible anchoring: Grasping news and public opinion,2010,Projetor inferior,"Caneta, Tokens tangíveis, Visão computacional","Multi-touch, Tangibility, Touch",Colaboração presencial,,
Interactive tabletops with non-interactive rims,2010,Embutido,Toque,"Multi-touch, Touch",Colaboração presencial,,46”
Visualization techniques for circular tabletop interfaces,2002,Projetor superior,"Caneta, Ondas sonoras",Tangibility,Colaboração presencial,,
Supporting casual interactions between board games on public tabletop displays and mobile devices,2009,Projetor inferior,"Sensor infravermelho, Visão computacional","Multi-touch, Touch",Colaboração presencial,,
Tabletop Interface Design: Developing and Using Usability Heuristics,2020,Embutido,Toque,"Multi-touch, Touch",Colaboração presencial,,
Designing a Learning Robot to Encourage Collaboration Between Children,2021,Embutido,Toque,"Multi-touch, Touch",Colaboração presencial,,
Tangible Map: Designing and Assessing Spatial Information Retrieval Through a Tactile Interface,2019,Embutido,Toque,"Multi-touch, Touch",Colaboração presencial,,
Study on generic tangible objects used to collaborate remotely on RFID tabletops,2018,Embutido,Tokens tangíveis,Tangibility,"Colaboração presencial, Colaboração remota",,
Towards a framework for geospatial tangible user interfaces in collaborative urban planning,2018,Projetor inferior,"Sensor infravermelho, Tokens tangíveis, Visão computacional",Tangibility,Colaboração presencial,,58”
Designing a Collaborative Problem Solving Task in the Context of Urban Planning,2018,Projetor inferior,"Sensor infravermelho, Tokens tangíveis, Visão computacional","Gesture, Tangibility",Colaboração presencial,,
Evaluating the effectiveness of spatial augmented reality in smart manufacturing: a solution for manual working stations,2018,Projetor superior,"Tokens tangíveis, Visão computacional",Tangibility,Usuário único,,
Hexart: Smart Merged Touch Tables,2016,Projetor inferior,"Sensor infravermelho, Visão computacional","Gesture, Multi-touch, Touch",Colaboração presencial,,
On the Integration of Tangible Elements with Multi-touch Surfaces for the Collaborative Creation of Concept Maps,2016,Embutido,"Sensor infravermelho, Tokens tangíveis, Visão computacional","Multi-touch, Tangibility, Touch","Colaboração presencial, Colaboração remota",,
Towards Geospatial Tangible User Interfaces: An Observational User Study Exploring Geospatial Interactions of the Novice,2016,Projetor inferior,"Tokens tangíveis, Visão computacional","Multi-touch, Tangibility, Touch",Colaboração presencial,,58”
Multi-tabletop System to Support Collaborative Design Assessment,2016,"Multi-Device, Projetor superior","Caneta, Sensor infravermelho, Visão computacional",Tangibility,Colaboração presencial,,
Usage of Interactive Event Timelines in Collaborative Digital Tabletops Involving Automation,2016,Embutido,"Sensor infravermelho, Visão computacional","Multi-touch, Touch",Colaboração presencial,,
Tangible Voting: A Technique for Interacting with Group Choices on a Tangible Tabletop,2017,Projetor inferior,"Tokens tangíveis, Visão computacional",Tangibility,Colaboração presencial,,
Tangible Mixed Reality On-Site: Interactive Augmented Visualisations from Architectural Working Models in Urban Design,2015,Projetor inferior,Visão computacional,"Multi-touch, Tangibility, Touch",Colaboração presencial,,
A Collaborative Spatial Decision Support System for the Capacitated Vehicle Routing Problem on a Tabletop Display,2015,Projetor inferior,"Sensor infravermelho, Tokens tangíveis, Visão computacional","Multi-touch, Tangibility, Touch",Colaboração presencial,,
Around-Device Interactions: A Usability Study of Frame Markers in Acquisition Tasks,2015,Multi-Device,Tokens tangíveis,Tangibility,Colaboração presencial,,
In-Situ Occlusion Resolution for Hybrid Tabletop Environments,2015,"Embutido, Projetor superior","Sensor infravermelho, Visão computacional","Gesture, Multi-touch, Touch",Colaboração presencial,,
