article,Ano,Tecnologia do display,Tecnologia do input,Tipo de interação,Suporte à colaboração,Usa modelo com nome?,Tamanho da mesa
Towards New Human-Machine Systems in contexts involving interactive table and tangible objects,2010,Embutido,Tokens tangíveis,Tangibility,Colaboração presencial,TangiSense,42.5”
RFID interactive tabletop application with tangible objects: exploratory study to observe young children’ behaviors,2015,Embutido,Tokens tangíveis,Tangibility,Colaboração presencial,TangiSense,42.5”
Understanding the Attention Demand of Touch and Tangible Interaction on a Composite Task,2019,Embutido,Tokens tangíveis,Tangibility,Colaboração presencial,TangiSense 2,42.5”
Using a tangible interactive tabletop to learn at school: empirical studies in the wild,2016,Embutido,Tokens tangíveis,Tangibility,Colaboração presencial,TangiSense 2,42.5”
RFID-based tangible and touch tabletop for dual reality in crisis management context,2022,Embutido,Tokens tangíveis,Tangibility,Colaboração presencial,TangiSense 2,42.5”
Designing a tangible tabletop installation and enacting a socioenactive experience with TangiTime,2021,Projetor inferior,"Sensor infravermelho, Tokens tangíveis, Visão computacional",Tangibility,Colaboração presencial,TangiTime,53”
Evaluating the Socioenactive Experience with a Tangible Tabletop Installation: A Case Study,2020,Projetor inferior,"Sensor infravermelho, Tokens tangíveis, Visão computacional",Tangibility,Colaboração presencial,TangiTime,53”
Experiences with building a thin form-factor touch and tangible tabletop,2008,Embutido,Sensor infravermelho,"Multi-touch, Tangibility, Touch",Usuário único,ThinSight,
Supporting opportunistic search in meetings with tangible tabletop,2012,Projetor superior,"Caneta, Sensor infravermelho","Speech, Tangibility",Colaboração presencial,TinkerLamp,
Task Performance vs. Learning Outcomes: A Study of a Tangible User Interface in the Classroom,2010,Projetor superior,"Sensor infravermelho, Tokens tangíveis, Visão computacional",Tangibility,Colaboração presencial,TinkerLamp,
TinkerLamp 2.0: Designing and Evaluating Orchestration Technologies for the Classroom,2012,Projetor superior,"Tokens tangíveis, Visão computacional",Tangibility,Colaboração presencial,TinkerLamp 2.0,
TinkerSheets: using paper forms to control and visualize tangible simulations,2009,Projetor superior,"Sensor infravermelho, Tokens tangíveis",Tangibility,Colaboração presencial,TinkerTable,
"Move, Beam, and Check! Imagineering Tangible Optical Chess on An Interactive Tabletop Display",2009,Projetor inferior,Sensor infravermelho,"Multi-touch, Tangibility, Touch",Colaboração presencial,TTT (Tangible Tracking Table),
A Multi-Agent System Approach for Interactive Table Using RFID,2010,Projetor inferior,Sensor infravermelho,"Multi-touch, Tangibility, Touch",Colaboração presencial,TTT (Tangible Tracking Table),
New Human-Computer Interactions Using Tangible Objects: Application on a Digital Tabletop with RFID Technology,2009,Projetor inferior,Sensor infravermelho,"Multi-touch, Tangibility, Touch",Colaboração presencial,TTT (Tangible Tracking Table),
Tangible optical chess: a laser strategy game on an interactive tabletop,2009,Projetor inferior,Sensor infravermelho,"Multi-touch, Tangibility, Touch",Colaboração presencial,TTT (Tangible Tracking Table),
Experience and Ownership with a Tangible Computational Music Installation for Informal Learning,2016,Projetor inferior,"Sensor infravermelho, Tokens tangíveis","Multi-touch, Tangibility",Colaboração presencial,TuneTable,
Trajectories of Physical Engagement and Expression in a Co-Creative Museum Installation,2019,Projetor inferior,Tokens tangíveis,Tangibility,Colaboração presencial,TuneTable,
TViews: An Extensible Architecture for Multiuser Digital Media Tables,2006,Embutido,"Sensor infravermelho, Tokens tangíveis",Tangibility,Colaboração presencial,TViews,
The TViews Table in the Home,2007,Embutido,"Sensor infravermelho, Tokens tangíveis",Tangibility,Colaboração presencial,TViews,
Haptic u-Table: A Believable Feedback System with a Quasi-tangible Tabletop Interface,2010,Projetor inferior,"Sensor infravermelho, Tokens tangíveis, Visão computacional","Multi-touch, Tangibility, Touch",Colaboração presencial,u-Table,59”
A Steerable Tangible Interface and Its Evaluation,2010,Projetor inferior,"Sensor infravermelho, Tokens tangíveis, Visão computacional","Multi-touch, Tangibility, Touch",Colaboração presencial,u-Table,59”
An Immersive Motion Interface with Edutainment Contents for Elderly People,2008,Projetor inferior,"Sensor infravermelho, Tokens tangíveis, Visão computacional","Multi-touch, Tangibility, Touch",Colaboração presencial,u-Table,59”
Gesture-Based Interactions on Multiple Large Displays with a Tabletop Interface,2007,Projetor inferior,"Sensor infravermelho, Tokens tangíveis, Visão computacional","Multi-touch, Tangibility, Touch",Colaboração presencial,u-Table,59”
u-Table: A Tabletop Interface for Multiple Users,2006,Projetor inferior,"Sensor infravermelho, Tokens tangíveis, Visão computacional","Multi-touch, Tangibility, Touch",Colaboração presencial,u-Table,59”
Strategic Tabletop Negotiations,2007,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Painting an Apple with an Apple: A Tangible Tabletop Interface for Painting with Physical Objects,2018,Projetor inferior,"Sensor infravermelho, Tokens tangíveis",Tangibility,Usuário único,UnicrePaint,
Trackable Interactive Multimodal Manipulatives: Towards a Tangible User Environment for the Blind,2012,,"Sensor infravermelho, Tokens tangíveis, Visão computacional","Multi-touch, Tangibility, Touch",Usuário único,Z USA FEEDBACK POR SOM,
Sensor-Augmented Virtual Labs: Using Physical Interactions with Science Simulations to Promote Understanding of Gas Behavior,2016,Embutido,Tokens tangíveis,Tangibility,Colaboração presencial,Z USA SENSOR DE TEMPERATURA,
"uTable: a seamlessly tiled, very large interactive tabletop system",2011,Projetor inferior,Sensor infravermelho,"Multi-touch, Touch",Colaboração presencial,uTable,169”
Finger gesture interaction on large tabletop for sharing digital documents among multiple users,2008,Projetor inferior,Sensor infravermelho,"Multi-touch, Touch",Colaboração presencial,uTable,169”
"uMeeting, an Efficient Co-located Meeting System on the Large-Scale Tabletop",2011,Projetor inferior,Sensor infravermelho,"Multi-touch, Touch",Colaboração presencial,uTable,169”
Designing and evaluating the tabletop game experience for senior citizens,2008,Projetor superior,"Sensor infravermelho, Tokens tangíveis",Tangibility,Colaboração presencial,Visual Interaction Platform (VIP),
aMAZEd: designing an affective social game for children,2007,Projetor superior,"Sensor infravermelho, Tokens tangíveis",Tangibility,Colaboração presencial,Visual Interaction Platform (VIP),
Read-It: five-to-seven-year-old children learn to read in a tabletop environment,2004,Projetor superior,"Sensor infravermelho, Tokens tangíveis",Tangibility,Colaboração presencial,Visual Interaction Platform (VIP),
AGORAS: Exploring Creative Learning on Tangible User Interfaces,2011,Embutido,Toque,"Multi-touch, Touch",Colaboração presencial,,
Evaluating the effects of fluid interface components on tabletop collaboration,2006,Projetor superior,Sensor infravermelho,Touch,Colaboração presencial,,72”
Pop-up digital tabletop: seamless integration of 2D and 3D visualizations in a tabletop environment,2019,Projetor superior,"Sensor infravermelho, Tokens tangíveis",Tangibility,Usuário único,,
AR Tabletop Interface Using an Optical See-Through HMD,2016,Headset,Sensor infravermelho,"Multi-touch, Touch",Usuário único,,
